108000000	0	20
128000000	0.001	20
140000000	0.0025	20
148000000	0.004	20
158000000	0.005	20
168000000	0.01	20
181000000	0.015	20
188000000	0.03	20
193000000	0.05	20
81000000	0	200
96000000	0.001	200
108000000	0.0025	200
111000000	0.004	200
121000000	0.005	200
126000000	0.01	200
136000000	0.015	200
141000000	0.03	200
145000000	0.05	200
78000000	0	300
83000000	0.001	300
88000000	0.0025	300
91000000	0.004	300
95000000	0.005	300
96000000	0.01	300
98000000	0.015	300
103000000	0.03	300
103000000	0.05	300
66000000	0	400
68000000	0.001	400
71000000	0.0025	400
71000000	0.004	400
71000000	0.005	400
71000000	0.01	400
71000000	0.015	400
71000000	0.03	400
71000000	0.05	400
35000000	0	500
39000000	0.001	500
43000000	0.0025	500
43000000	0.004	500
43000000	0.005	500
43000000	0.01	500
43000000	0.015	500
43000000	0.03	500
43000000	0.05	500
10000000	0	600
10000000	0.001	600
10000000	0.0025	600
10000000	0.004	600
10000000	0.005	600
10000000	0.01	600
10000000	0.015	600
10000000	0.03	600
10000000	0.05	600
